coin,date,price,market_cap_billion,total_volume_billion,daily_pct_change
bitcoin,2024-09-01,60456.90314172056,1194.1230445630779,203.92155673671886,-1.1810601608989166
bitcoin,2024-09-08,56595.07604764219,1118.21677501322,215.17380665055876,-1.1788221964098342
bitcoin,2024-09-15,57939.761520113454,1145.1442639111174,203.63971064585854,1.4945674610931499
bitcoin,2024-09-22,61240.21796754638,1209.755015179806,214.60767227864483,0.8068135262470697
bitcoin,2024-09-29,64464.506645226844,1273.4252190439834,187.93023898175193,0.5711547067530346
bitcoin,2024-10-06,62194.00007666867,1228.9856151781808,223.3510257974647,-0.8336366647288286
bitcoin,2024-10-13,61953.83750786592,1224.6329675747586,184.78507127099007,0.27147353712684447
bitcoin,2024-10-20,66810.26978173938,1320.6112051205494,244.38469579683206,1.1481532208156398
bitcoin,2024-10-27,67458.65505171087,1333.0680226684428,227.30366719015876,-0.27613577638708914
bitcoin,2024-11-03,70282.81053422434,1390.0030739259653,282.98939863889007,0.5044318093323873
bitcoin,2024-11-10,72960.08645324476,1443.7129813966433,401.06887330125005,1.4980594846661681
bitcoin,2024-11-17,88116.96844253106,1742.258075457887,749.1231050067619,2.5042509144659335
bitcoin,2024-11-24,94565.83551350968,1870.46429423834,538.5125411175877,1.0961303734421786
bitcoin,2024-12-01,95508.80477932394,1889.494441213065,486.3185774188712,-0.13453941352038637
bitcoin,2024-12-08,97859.30367390254,1936.3507580026876,703.6681471318495,0.49197890884797235
bitcoin,2024-12-15,99868.95714465734,1976.623918680228,690.0624151429375,0.25484784602326505
bitcoin,2024-12-22,101418.81590863678,2007.2894895122643,658.950466052867,-0.5644445930863741
bitcoin,2024-12-29,96139.24745054771,1903.5966615192597,301.6673796363811,-0.27114903083612313
bitcoin,2025-01-05,95339.42755531902,1888.0635882909485,252.12097130791196,0.4637506799473691
bitcoin,2025-01-12,96319.32163904817,1908.8097501075588,339.6933686146104,-0.5043280492374173
bitcoin,2025-01-19,99191.17699531621,1964.6143752917324,373.51797877560904,1.4311595528580017
bitcoin,2025-01-26,103799.26584148833,2057.4232624276046,520.1185552099776,0.08709330947238428
bitcoin,2025-02-02,102483.07222229408,2031.565899705714,309.17555683848167,-0.5587795939745455
bitcoin,2025-02-09,97641.23084711251,1934.5049574270922,426.29460893846505,-0.5686334408317704
bitcoin,2025-02-16,97020.6890540661,1922.8176271867046,221.67188053834806,0.1568111607206998
bitcoin,2025-02-23,96437.12796104167,1911.820669315555,190.09067523543618,-0.13899300749804025
bitcoin,2025-03-02,91432.61717241167,1813.3446496184438,242.3168857045871,-1.924004598923407
ethereum,2024-03-03,3364.837245286459,404.3073980219021,123.69709989771142,1.1048318217155861
ethereum,2024-03-10,3742.4226819140245,449.23478340417313,199.3854026991256,1.9758140276278995
ethereum,2024-03-17,3868.045300065322,464.37653535040346,190.10577484886076,-1.4828507565467608
ethereum,2024-03-24,3432.2641734547456,412.1835671746763,186.2805981558531,-0.47776758302732514
