coin,date,price,daily_pct_change,market_cap_billion,total_volume_billion
bitcoin,2024-06-21 00:00:00,64844.67441797763,-0.0961377322931222,1279.3171168213782,26.001551474844263
bitcoin,2024-06-22 00:00:00,64071.624284709695,-1.1921567040108605,1263.2587466352895,24.69431019890943
bitcoin,2024-06-23 00:00:00,64239.90348813148,0.2626423245866593,1266.3360928908737,6.3406066862487895
bitcoin,2024-06-24 00:00:00,63221.35738437477,-1.5855349221452153,1248.1888776582325,10.748270931518737
bitcoin,2024-06-25 00:00:00,60363.23497529626,-4.5208178491037865,1188.9646703694043,42.03655310689028
bitcoin,2024-06-26 00:00:00,61770.41387009536,2.331185357072041,1217.9350127398113,21.105562261648533
bitcoin,2024-06-27 00:00:00,60749.89619402014,-1.6521140334616935,1198.2054854275639,22.908540918971205
bitcoin,2024-06-28 00:00:00,61562.64532550036,1.3378609386993867,1213.9319857198025,18.855138893067604
bitcoin,2024-06-29 00:00:00,60317.09697945116,-2.023220963725003,1189.5698601709425,24.399416695150173
bitcoin,2024-06-30 00:00:00,60864.44316193428,0.9074478214188276,1199.792912680844,11.435110883886797
bitcoin,2024-07-01 00:00:00,62734.39383945474,3.0723203571341617,1236.6767108884821,17.373592048120486
bitcoin,2024-07-02 00:00:00,62819.82226921849,0.1361747911080124,1238.799172479871,25.57307491068969
bitcoin,2024-07-03 00:00:00,62042.5650371006,-1.237280215131631,1222.9018579410586,18.100530101689422
bitcoin,2024-07-04 00:00:00,60244.68076433092,-2.897823891862894,1186.9371703149272,30.348692427024428
bitcoin,2024-07-05 00:00:00,57189.17412408636,-5.071828087524088,1130.1216689910516,43.11200539493119
bitcoin,2024-07-06 00:00:00,56739.86285107204,-0.7856579149743137,1118.4906667784585,60.081357583277295
bitcoin,2024-07-07 00:00:00,58230.4841542266,2.627114744825998,1147.176330416144,21.29391367091997
bitcoin,2024-07-08 00:00:00,55880.3753776708,-4.035873667701962,1100.4520839277027,20.211914621326436
bitcoin,2024-07-09 00:00:00,56665.14073352028,1.404366650269595,1117.6154646516861,41.61426690830467
bitcoin,2024-07-10 00:00:00,57988.30351208401,2.335056017572046,1144.7946881869605,28.41385457726276
bitcoin,2024-07-11 00:00:00,57704.20228446288,-0.4899285035333545,1139.3506818225858,25.987656347278588
bitcoin,2024-07-12 00:00:00,57388.19247916668,-0.5476374211680013,1130.276546536143,29.19665359875266
bitcoin,2024-07-13 00:00:00,57899.28895749592,0.8905951838695358,1141.5673754061943,25.50448230619897
bitcoin,2024-07-14 00:00:00,59152.71913887286,2.164845551552608,1168.3717877257102,16.765547593243273
bitcoin,2024-07-15 00:00:00,60942.32773996293,3.025403780489966,1204.0591678287042,21.29552056365442
