coin,date,price,market_cap,total_volume,daily_pct_change
ethereum,2024-12-20 00:00:00,3434.6754695380805,413858693686.69867,64452959600.863884,-5.335529325065568
ethereum,2024-12-21 00:00:00,3468.658920056454,417562064054.3703,72936574193.4554,0.9894224598443246
ethereum,2024-12-22 00:00:00,3337.5972231166807,401314595520.45166,32479699770.041058,-3.778454439032597
ethereum,2024-12-23 00:00:00,3275.8894274015142,394984656581.5222,25811397925.979923,-1.8488688595427072
ethereum,2024-12-24 00:00:00,3414.6414419807993,411423031050.5532,35528067791.09896,4.235552440161117
ethereum,2024-12-25 00:00:00,3497.555287927574,420708095541.6798,24085249644.32143,2.428186014713085
ethereum,2024-12-26 00:00:00,3494.5109273631047,421029544401.6013,17503804977.00058,-0.087042528676462
ethereum,2024-12-27 00:00:00,3327.7897761683494,401038436756.22626,21239977785.94795,-4.770943764670388
ethereum,2024-12-28 00:00:00,3328.6111553091764,400705550098.4306,24582312087.174118,0.02468242275126542
ethereum,2024-12-29 00:00:00,3397.8341205085153,409451576910.996,13861298668.649797,2.0796350780993844
ethereum,2024-12-30 00:00:00,3357.330742971463,404459649875.75726,11315432322.371536,-1.1920351641824811
ethereum,2024-12-31 00:00:00,3359.513941757392,404631151447.3196,27664137021.813133,0.06502781385180345
ethereum,2025-01-01 00:00:00,3336.6175137659498,401972899891.29846,21466394178.61746,-0.6815399009615253
ethereum,2025-01-02 00:00:00,3348.967247123586,403374380145.697,13440599794.35101,0.37012733124741626
ethereum,2025-01-03 00:00:00,3448.140436960939,415300548992.1061,22683249623.05199,2.9613066512529373
ethereum,2025-01-04 00:00:00,3604.2913795931763,434290507752.4077,22019312215.306797,4.528555187556771
ethereum,2025-01-05 00:00:00,3660.37804173532,441117087325.0027,15951962220.78043,1.5561078790603755
ethereum,2025-01-06 00:00:00,3635.8549961807084,438092711283.22925,12542101206.558632,-0.6699593669015069
ethereum,2025-01-07 00:00:00,3687.1447140588307,444015369643.70074,24440100572.59286,1.4106645598352952
ethereum,2025-01-08 00:00:00,3380.0211263090155,406968109533.227,32832589510.813023,-8.329577805253319
ethereum,2025-01-09 00:00:00,3325.1300293537356,400602495132.5278,35080974963.72023,-1.623986800793198
ethereum,2025-01-10 00:00:00,3219.09284475812,388324291231.471,30096896683.041233,-3.188963549080359
ethereum,2025-01-11 00:00:00,3269.1759954060667,394101246876.45374,26722437003.95787,1.5558156618409091
ethereum,2025-01-12 00:00:00,3283.591322828503,395839071861.3172,11047744222.743227,0.44094681481490205
ethereum,2025-01-13 00:00:00,3264.070968533687,393199349088.32996,9699706283.258541,-0.594481845505701
ethereum,2025-01-14 00:00:00,3134.5520394596483,377643507549.0125,41743898872.017,-3.9680181688029337
ethereum,2025-01-15 00:00:00,3224.8006483414138,388487746270.3852,22365842880.809456,2.8791549078037715
ethereum,2025-01-16 00:00:00,3447.0340476747956,415058425772.0614,23773995063.828526,6.891384106105325
ethereum,2025-01-17 00:00:00,3309.4466139900196,398587196539.9218,25012556602.905136,-3.991473010763724
ethereum,2025-01-18 00:00:00,3477.284285084809,419024911827.7939,27778832363.7708,5.071472384092535
ethereum,2025-01-19 00:00:00,3309.0995676199964,398761138447.4049,32195594202.134895,-4.836668609069761
ethereum,2025-01-20 00:00:00,3208.1365439891497,388676714260.872,59678736709.7496,-3.0510724010478274
ethereum,2025-01-21 00:00:00,3263.069869880814,393073139255.5516,49563768850.78339,1.7123125882714918
ethereum,2025-01-22 00:00:00,3326.0285404709143,400135429379.4123,33762939512.697853,1.929430661942888
ethereum,2025-01-23 00:00:00,3237.2996671291435,390083338462.87006,21782301388.383984,-2.6677123260406055
ethereum,2025-01-24 00:00:00,3332.580893146162,401547418905.6495,33863218042.431107,2.9432315761337646
ethereum,2025-01-25 00:00:00,3311.8499838687,398942774193.46027,25895320216.868122,-0.6220676989446172
ethereum,2025-01-26 00:00:00,3320.1314101789453,400427749273.5654,12706329663.414034,0.25005439106791094
ethereum,2025-01-27 00:00:00,3232.2767744705584,390058879989.8578,13000445022.22209,-2.646119230071431
ethereum,2025-01-28 00:00:00,3173.5346079397173,382221069555.6103,41151086046.07612,-1.8173618978053918
ethereum,2025-01-29 00:00:00,3076.4937692857234,370532757630.7433,19807794444.483303,-3.057815673766784
ethereum,2025-01-30 00:00:00,3114.4358854363104,375574817164.75665,22051422147.78046,1.2332908497778572
ethereum,2025-01-31 00:00:00,3248.249484352305,391509879851.78656,19504592311.356525,4.2965597571531955
ethereum,2025-02-01 00:00:00,3296.390634843652,396910231325.1062,31441846706.254246,1.4820644388079174
ethereum,2025-02-02 00:00:00,3125.0386801320924,376840076476.98303,18969060074.552986,-5.19816895789983
ethereum,2025-02-03 00:00:00,2862.6976188716285,344091054313.7205,38896518795.21238,-8.394810052379098
ethereum,2025-02-04 00:00:00,2877.8138239498767,346820394641.11206,96588727629.45805,0.5280405788791187
ethereum,2025-02-05 00:00:00,2740.3809762760143,329090090858.6241,52737830809.63367,-4.775598981772633
ethereum,2025-02-06 00:00:00,2790.5521609256075,335828291113.4543,30026391038.27177,1.8308105728340074
